,MSE,Image File Name
15171,0.013368251792372887,Geolife_trajectory685.png
4349,0.013384564908972219,Geolife_trajectory13912.png
2278,0.013388267174322122,Geolife_trajectory12048.png
11684,0.013401724230453327,Geolife_trajectory3710.png
11228,0.013421226809965325,Geolife_trajectory330.png
5289,0.013432989129989747,Geolife_trajectory14759.png
7793,0.013442259577488513,Geolife_trajectory17011.png
311,0.013444258013226129,Geolife_trajectory10278.png
628,0.01345228467075732,Geolife_trajectory10563.png
717,0.013460062194894429,Geolife_trajectory10643.png
13876,0.013462318157449193,Geolife_trajectory5684.png
14645,0.013470854588911396,Geolife_trajectory6376.png
4926,0.013484106841044508,Geolife_trajectory14431.png
18181,0.013484106841044508,Geolife_trajectory9559.png
14994,0.013484106841044508,Geolife_trajectory6690.png
13740,0.013484106841044508,Geolife_trajectory5561.png
4649,0.013484106841044508,Geolife_trajectory14182.png
4434,0.013484106841044508,Geolife_trajectory1399.png
1406,0.013485314429795336,Geolife_trajectory11263.png
11782,0.01350975639579155,Geolife_trajectory38.png
7564,0.013512881611401295,Geolife_trajectory16806.png
333,0.013516810248907829,Geolife_trajectory10298.png
4010,0.013516810248907829,Geolife_trajectory13607.png
16887,0.013518160450820604,Geolife_trajectory8394.png
14840,0.013518160450820604,Geolife_trajectory6551.png
18126,0.013520139036124978,Geolife_trajectory9509.png
234,0.013524701644496873,Geolife_trajectory10208.png
7043,0.013525682542336548,Geolife_trajectory16337.png
4582,0.013530759599906683,Geolife_trajectory14121.png
14997,0.013532258891411741,Geolife_trajectory6693.png
13217,0.013536984715812994,Geolife_trajectory5090.png
13871,0.0135457068902477,Geolife_trajectory568.png
7964,0.013547203686456566,Geolife_trajectory17166.png
13379,0.01355553748809013,Geolife_trajectory5236.png
876,0.013572778420228748,Geolife_trajectory10787.png
14238,0.013594675154100178,Geolife_trajectory6009.png
13880,0.013594675154100178,Geolife_trajectory5688.png
18331,0.013594675154100178,Geolife_trajectory9694.png
4921,0.013594675154100178,Geolife_trajectory14427.png
15432,0.013601840812331123,Geolife_trajectory7084.png
17454,0.013612032725069168,Geolife_trajectory8904.png
9787,0.013613384741531454,Geolife_trajectory2002.png
11886,0.01363924577546649,Geolife_trajectory3893.png
9790,0.013644223872167627,Geolife_trajectory2005.png
8184,0.013653827066996693,Geolife_trajectory17364.png
6799,0.013653827066996693,Geolife_trajectory16117.png
17627,0.013654695561157004,Geolife_trajectory906.png
13370,0.01365737278144813,Geolife_trajectory5228.png
15413,0.013659923642111715,Geolife_trajectory7067.png
13386,0.013662550067559731,Geolife_trajectory5242.png
735,0.013663724189208637,Geolife_trajectory1066.png
14480,0.013665159398686788,Geolife_trajectory6227.png
13258,0.013675362063414132,Geolife_trajectory5127.png
13317,0.01368016928767557,Geolife_trajectory5180.png
18639,0.0136839888004478,Geolife_trajectory9971.png
370,0.013696283437363899,Geolife_trajectory10330.png
10642,0.013698799483892687,Geolife_trajectory2773.png
16945,0.013705561106862552,Geolife_trajectory8446.png
1481,0.01370969505901437,Geolife_trajectory11330.png
7799,0.013711202497978803,Geolife_trajectory17017.png
3919,0.01371120366567069,Geolife_trajectory13525.png
12769,0.013717533720696229,Geolife_trajectory4688.png
4742,0.013718498855233185,Geolife_trajectory14266.png
18658,0.013718971673256475,Geolife_trajectory9989.png
5137,0.013724515839211027,Geolife_trajectory14621.png
16844,0.013724689712989235,Geolife_trajectory8355.png
9877,0.013727317653223714,Geolife_trajectory2084.png
4812,0.013728871962726819,Geolife_trajectory14329.png
121,0.013732181323040216,Geolife_trajectory10106.png
4820,0.013736742521324397,Geolife_trajectory14336.png
4648,0.013737016153390569,Geolife_trajectory14181.png
13315,0.013739389628386944,Geolife_trajectory5179.png
14968,0.013740990072632242,Geolife_trajectory6667.png
16830,0.013749444534239652,Geolife_trajectory8342.png
15934,0.013751753020760482,Geolife_trajectory7536.png
4923,0.013754779260398031,Geolife_trajectory14429.png
7932,0.013756744096698859,Geolife_trajectory17137.png
18210,0.013762638598703525,Geolife_trajectory9585.png
936,0.013762638598703525,Geolife_trajectory10840.png
11767,0.013766417947209286,Geolife_trajectory3786.png
13334,0.01376693304141724,Geolife_trajectory5196.png
10472,0.013769501305024356,Geolife_trajectory262.png
3589,0.013770822489734269,Geolife_trajectory13228.png
209,0.013775664062089243,Geolife_trajectory10186.png
9408,0.013776350725887732,Geolife_trajectory18466.png
10474,0.013780510733226947,Geolife_trajectory2621.png
1414,0.013782284850812676,Geolife_trajectory11270.png
