,MSE,DataNumber
674,0.020192742590171342,896896th data
675,0.01494874427938453,902720th data
676,0.017274869561977546,903360th data
677,0.015247579877332884,905024th data
678,0.026627806834417567,908800th data
679,0.020256924460246628,910080th data
680,0.02211915244042112,913856th data
681,0.027711363448450266,917568th data
682,0.020813058112518434,918784th data
683,0.027646448668694146,919872th data
684,0.017541044916569604,920128th data
685,0.01556622244832434,921600th data
686,0.021331490732131586,928576th data
687,0.017274869561977546,929728th data
688,0.01757791838841677,92992th data
689,0.01897232070494609,930112th data
690,0.021313297671504527,930688th data
691,0.019409417989960653,930816th data
692,0.023630573837710278,931072th data
693,0.030047875056852136,933504th data
694,0.025330831953632893,934336th data
695,0.018667860285397186,935232th data
696,0.018667860285397186,935296th data
697,0.022022022042188283,938176th data
698,0.017373422506394176,940800th data
699,0.014297169930475362,940992th data
700,0.026111149075869533,941056th data
701,0.01426389549797491,94272th data
702,0.019619105982405627,943616th data
703,0.02148787563815141,944064th data
704,0.021224890689987397,944256th data
705,0.019205024707962814,944960th data
706,0.030200353346062525,945344th data
707,0.028096380201373283,945536th data
708,0.02111081223794531,945600th data
709,0.021612732475613072,945664th data
710,0.025393164969442883,945984th data
711,0.018331132006485618,946496th data
712,0.012242994173611355,948480th data
713,0.012739327132032241,951552th data
714,0.015663719045626523,952960th data
715,0.01670690788685325,953664th data
716,0.01563662901339591,956288th data
717,0.01811960276233221,956352th data
718,0.018542013591519857,956672th data
719,0.02891528697562551,95680th data
720,0.018813374099191538,956864th data
721,0.013888751018818646,956928th data
722,0.018115198620121176,957120th data
723,0.01493151822050931,960512th data
724,0.017899368600017673,962560th data
725,0.020446669684728747,96256th data
726,0.028724129645532226,96448th data
727,0.017105716502551382,97152th data
728,0.0196840419248423,975040th data
729,0.016882097882333302,977728th data
730,0.016964910890146012,982144th data
731,0.01703874907303743,987200th data
732,0.014027846998718785,991168th data
733,0.02834874982497043,994176th data
734,0.014935547690223039,995008th data
