,MSE,DataNumber
221,0.6376212782514559,323008th data
222,0.6047178512670401,323072th data
223,0.9132022048792892,323712th data
224,0.6053874336352847,324032th data
225,0.5492885114177994,324160th data
226,0.4829644075621753,324736th data
227,0.38810615806427506,329920th data
228,0.6301709067499397,334528th data
229,0.75728113334532,335424th data
230,0.4530197829245513,336576th data
231,0.5008653789212225,336960th data
232,1.0933409761728696,338944th data
233,0.38530240951336175,33920th data
234,0.6280602481190414,340544th data
235,0.6452843914188302,34176th data
236,0.553810594405292,342912th data
237,0.3745528046109739,343296th data
238,0.46345665202341824,343616th data
239,0.5120768857429958,345472th data
240,0.37039477383149505,347136th data
241,0.3718361627353444,349184th data
242,0.8729950507230664,351104th data
243,0.4296605711785715,351552th data
244,0.6661238602977542,351744th data
245,0.481764984249268,354240th data
246,0.652923296330199,354752th data
247,0.5573674191143931,355200th data
248,0.4460963861770773,355264th data
249,0.6146418905057005,355520th data
250,0.5361979042285692,356672th data
251,0.299661652170663,356864th data
252,0.609813632743146,356928th data
253,0.4452011956000368,357696th data
254,0.5361674835233112,360448th data
255,0.5427433762200009,361024th data
256,0.571883672656015,361664th data
257,0.4499410747121255,361792th data
258,0.4067605479767311,361920th data
259,0.36724551627387353,362176th data
260,0.46772114444757684,363648th data
261,0.480989587211024,364736th data
262,0.7166326526591185,368896th data
263,0.3926082104281656,370816th data
264,0.4618181046784964,371392th data
265,0.9569639749485526,371520th data
266,0.5220385543650274,371776th data
267,0.4237009637377378,372928th data
268,0.8263467257607786,373888th data
269,0.531182854834658,373952th data
270,0.5851736135974959,374784th data
271,0.4229793269668885,376064th data
272,0.4187436190250651,378240th data
273,0.3119401174984384,378816th data
274,0.6531717915450721,379904th data
275,0.5188358200625203,380224th data
276,0.5074998491410687,381504th data
277,0.44530195921630966,383232th data
278,0.5729183818879768,383680th data
279,0.4675034814233752,38400th data
280,0.3200779890700609,384768th data
281,0.3413598019152495,38592th data
282,0.4522779750542105,386880th data
283,0.49600121463866587,387008th data
284,0.6699745912863178,387136th data
285,0.6529578655944057,388992th data
286,0.43351932497767454,389376th data
287,0.5219593703335088,3904th data
288,0.36067535871749495,390784th data
289,0.7583246968265636,391552th data
290,0.7592415480600305,392000th data
291,0.8917407843816163,392064th data
292,0.4538782017276768,39232th data
293,0.5469808436238237,393088th data
294,0.4578699269604778,394112th data
295,0.3681821763973545,394880th data
296,0.5568042366525638,395776th data
297,0.8645180990721466,396480th data
298,0.4658642275551239,397376th data
299,0.2973807490559486,39744th data
300,0.973074889015503,397504th data
301,1.1760822995860787,398656th data
302,0.8207885119287681,401472th data
303,0.4734842591279392,401920th data
304,0.6630448983854391,402048th data
305,0.2694107545058364,402368th data
306,0.5189620733459699,402752th data
307,0.29455017145303547,407552th data
308,0.5267092980163603,411776th data
309,0.3962148259590182,41280th data
310,0.7404869216525847,414336th data
311,0.5986702917147269,414400th data
312,0.6449055353474291,414464th data
313,0.6122200709344416,414528th data
314,0.6776377832132783,414592th data
315,0.5735779131372356,414720th data
316,0.603880178454328,414784th data
317,0.6507019005717263,414848th data
318,0.6151812439003201,415040th data
319,0.6526911484807378,415232th data
320,0.5689350265834516,415488th data
321,0.7485755360596551,415552th data
322,0.9459474374720327,415744th data
323,0.5073190205861926,416000th data
324,0.6812040023528196,416128th data
325,0.580727258531204,416384th data
326,0.5716476402092354,416448th data
327,0.6570144633709312,416640th data
328,0.6903608211275682,41664th data
329,0.561522580968532,416704th data
330,0.48649903398596767,416832th data
331,0.6292657194721232,417216th data
332,0.7205335799422574,417280th data
333,0.5952404833672036,41792th data
334,0.4344105066516557,41856th data
335,0.446512878224874,419584th data
336,0.4390875012131095,41984th data
337,0.8955266560771773,419904th data
338,0.34590020640115626,42176th data
339,0.4330746264348933,42304th data
340,0.6059252059262814,42368th data
341,0.44671467366301393,42432th data
342,1.0600589039091837,425600th data
343,0.43660699773779227,42560th data
344,0.7555046225573636,425984th data
345,0.8721762073660555,426880th data
346,0.5906409776843113,427200th data
347,0.30175629859077185,429632th data
348,0.4519860424089315,43008th data
349,0.4392444831330389,43136th data
350,0.44780949845108253,43264th data
351,0.4132255994350409,43392th data
352,0.4667018537310108,434048th data
353,0.45045554233361096,43648th data
354,0.49806964842297163,43776th data
355,0.5152471493528932,439488th data
356,0.44076754685971853,44032th data
357,0.6658159836048574,442816th data
358,0.8682841898737417,448384th data
359,0.8618871511996196,448896th data
360,0.6936425258815038,449152th data
361,0.6652312771480249,45312th data
362,0.8738732142004588,457792th data
363,0.6339723347563608,459584th data
364,0.5887383858320372,459904th data
365,0.915077892370717,461312th data
366,0.2825858525030478,465152th data
367,0.3284709644371491,46976th data
368,0.624814487590504,470592th data
369,0.6311862702142401,472320th data
370,1.1939035362746653,472640th data
371,0.4528880852811779,473856th data
372,0.4030346585272749,478336th data
373,0.9795067772183765,478528th data
374,0.6162326328186118,478592th data
375,0.8085509522264369,478848th data
376,1.146424043632162,479040th data
377,0.5087831108469931,480320th data
378,1.0690001441898813,483008th data
379,0.3069342582940831,48320th data
380,0.6840653999550605,485312th data
381,0.5036507127995815,485760th data
382,0.8926585927478359,485888th data
383,0.523958958268135,489408th data
384,0.7213724226806717,490944th data
385,0.7562750775858929,491328th data
386,0.6739829431992073,492160th data
387,0.32422574142723093,494848th data
388,0.3610790392807997,494976th data
389,0.3726098155448734,495424th data
390,0.4530738635294754,497344th data
391,0.45711264160439047,497408th data
392,0.43064069127707527,502016th data
393,0.2984511157621688,502720th data
394,0.37481949145163945,503872th data
395,0.32062083309871614,513536th data
396,0.4627351212459987,515648th data
397,0.4522779750542105,519552th data
398,0.49600121463866587,519616th data
399,0.6699745912863178,519744th data
400,0.9459474374720327,521600th data
401,0.8955266560771773,521856th data
402,0.5152471493528932,526848th data
403,0.6658159836048574,528192th data
404,0.8682841898737417,528896th data
405,0.8618871511996196,529088th data
406,0.8502487752917534,529344th data
407,0.6936425258815038,530304th data
408,0.8738732142004588,531328th data
409,0.624814487590504,532800th data
410,0.5336995774069853,532928th data
411,0.5271361562537802,533056th data
412,0.7255801759820115,533312th data
413,0.5492209141118058,533696th data
414,0.48686161580616116,533952th data
415,0.5270585770606795,534208th data
416,0.5510410304371671,534336th data
417,0.5330890689733714,535232th data
418,0.5347195822414568,535488th data
419,0.5016382746496428,535808th data
420,0.5362780191240404,536384th data
421,0.5909356518650903,536576th data
422,0.5421784932261211,536640th data
423,0.6611937716299434,537920th data
424,0.7765130472074624,538752th data
425,0.5418035413743865,540224th data
426,0.5222573509825268,543104th data
427,0.43516219269812023,5440th data
428,0.6825544394489995,551296th data
429,0.7562750775858929,553088th data
430,0.8540428622475904,555136th data
431,0.5171823903921826,556992th data
432,0.5306081525491626,558016th data
433,0.29999927162816764,561920th data
434,0.48031768916070133,563904th data
435,0.3505164370942682,567168th data
436,0.4569652003201554,572544th data
437,0.7299653441945622,572928th data
438,0.3252100334692811,577280th data
439,0.5158805137909241,579648th data
440,0.3354515290142326,583168th data
441,0.6429447806297408,583488th data
442,0.6772913125444417,583552th data
